atomic_num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,
3,,1,,,,,,,,,,,,,,,,,
4,,2,,,,,,,,,,,,,,,,,
5,,2,1,,,,,,,,,,,,,,,,
6,,2,2,,,,,,,,,,,,,,,,
7,,2,3,,,,,,,,,,,,,,,,
8,,2,4,,,,,,,,,,,,,,,,
9,,2,5,,,,,,,,,,,,,,,,
10,,2,6,,,,,,,,,,,,,,,,
11,,,,1,,,,,,,,,,,,,,,
12,,,,2,,,,,,,,,,,,,,,
13,,,,2,1,,,,,,,,,,,,,,
14,,,,2,2,,,,,,,,,,,,,,
15,,,,2,3,,,,,,,,,,,,,,
16,,,,2,4,,,
17,,,,2,5,,,
18,,,,2,6,,,
19,,,,,,1,,
20,,,,,,2,,
21,,,,,,2,1,
22,,,,,,2,2,
23,,,,,,2,3,
24,,,,,,1,5,
25,,,,,,2,5,
26,,,,,,2,6,
27,,,,,,2,7,
28,,,,,,2,8,
29,,,,,,1,10,
30,,,,,,2,10,
31,,,,,,2,10,1
32,,,,,,2,10,2,,
33,,,,,,2,10,3,,
34,,,,,,2,10,4,,
35,,,,,,2,10,5,,
36,,,,,,2,10,6,,
37,,,,,,,,,1,
38,,,,,,,,,2,
39,,,,,,,,,2,1
40,,,,,,,,,2,2
41,,,,,,,,,2,3
42,,,,,,,,,1,5
43,,,,,,,,,2,5
44,,,,,,,,,2,6
45,,,,,,,,,2,7
46,,,,,,,,,2,8
47,,,,,,,,,1,10
48,,,,,,,,,2,10,,,,
49,,,,,,,,,2,10,1,,,
50,,,,,,,,,2,10,2,,,
51,,,,,,,,,2,10,3,,,
52,,,,,,,,,2,10,4,,,
53,,,,,,,,,2,10,5,,,
54,,,,,,,,,2,10,6,,,
55,,,,,,,,,,,,1,,
56,,,,,,,,,,,,2,,
57,,,,,,,,,,,,2,,1
58,,,,,,,,,,,,2,1,1
59,,,,,,,,,,,,2,3,
60,,,,,,,,,,,,2,4,
61,,,,,,,,,,,,2,5,
62,,,,,,,,,,,,2,6,
63,,,,,,,,,,,,2,7,
64,,,,,,,,,,,,2,7,1
65,,,,,,,,,,,,2,9,
66,,,,,,,,,,,,2,10,
67,,,,,,,,,,,,2,11,
68,,,,,,,,,,,,2,12,
69,,,,,,,,,,,,2,13,
70,,,,,,,,,,,,2,14,
71,,,,,,,,,,,,2,14,1
72,,,,,,,,,,,,2,14,2
73,,,,,,,,,,,,2,14,3
74,,,,,,,,,,,,2,14,4
75,,,,,,,,,,,,2,14,5
76,,,,,,,,,,,,2,14,6
77,,,,,,,,,,,,2,14,7
78,,,,,,,,,,,,1,14,9
79,,,,,,,,,,,,1,14,10
80,,,,,,,,,,,,2,14,10,,,,
81,,,,,,,,,,,,2,14,10,1,,,
82,,,,,,,,,,,,2,14,10,2,,,
83,,,,,,,,,,,,2,14,10,3,,,
84,,,,,,,,,,,,2,14,10,4,,,
85,,,,,,,,,,,,2,14,10,5,,,
86,,,,,,,,,,,,2,14,10,6,,,
87,,,,,,,,,,,,,,,,1,,
88,,,,,,,,,,,,,,,,2,,
89,,,,,,,,,,,,,,,,2,,1
90,,,,,,,,,,,,,,,,2,,2
91,,,,,,,,,,,,,,,,2,2,1
92,,,,,,,,,,,,,,,,2,3,1
93,,,,,,,,,,,,,,,,2,4,1
94,,,,,,,,,,,,,,,,2,6,
95,,,,,,,,,,,,,,,,2,7,
96,,,,,,,,,,,,,,,,2,7,1,
97,,,,,,,,,,,,,,,,2,9,,
98,,,,,,,,,,,,,,,,2,10,,
99,,,,,,,,,,,,,,,,2,11,,
100,,,,,,,,,,,,,,,,2,12,,
101,,,,,,,,,,,,,,,,2,13,,
102,,,,,,,,,,,,,,,,2,14,,
103,,,,,,,,,,,,,,,,2,14,,1
104,,,,,,,,,,,,,,,,2,14,2,
105,,,,,,,,,,,,,,,,2,14,3,
106,,,,,,,,,,,,,,,,2,14,4,
107,,,,,,,,,,,,,,,,2,14,5,
108,,,,,,,,,,,,,,,,2,14,6,
109,,,,,,,,,,,,,,,,2,14,7,
110,,,,,,,,,,,,,,,,1,14,9,
111,,,,,,,,,,,,,,,,1,14,10,
112,,,,,,,,,,,,,,,,2,14,10,
113,,,,,,,,,,,,,,,,2,14,10,1
114,,,,,,,,,,,,,,,,2,14,10,2
115,,,,,,,,,,,,,,,,2,14,10,3
116,,,,,,,,,,,,,,,,2,14,10,4
117,,,,,,,,,,,,,,,,2,14,10,5
118,,,,,,,,,,,,,,,,2,14,10,6
